home_id,current_usage,acc_usage,time
24d3440e-c786-49bd-b454-57049bb389ab,0.000000,0.013107,2021-03-25T23:00:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.084973,0.098080,2021-03-25T23:05:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.078733,0.176813,2021-03-25T23:10:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.070235,0.247048,2021-03-25T23:15:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.057696,0.304744,2021-03-25T23:20:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.041903,0.346647,2021-03-25T23:25:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.025297,0.371944,2021-03-25T23:30:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.033638,0.405582,2021-03-25T23:35:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.032941,0.438523,2021-03-25T23:40:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.033956,0.472479,2021-03-25T23:45:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.031729,0.504208,2021-03-25T23:50:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.030464,0.534672,2021-03-25T23:55:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.031197,0.565869,2021-03-26T00:00:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.030918,0.596787,2021-03-26T00:05:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.034529,0.631316,2021-03-26T00:10:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.033331,0.664647,2021-03-26T00:15:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.033679,0.698326,2021-03-26T00:20:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.033452,0.731778,2021-03-26T00:25:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.026041,0.757819,2021-03-26T00:30:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.025124,0.782943,2021-03-26T00:35:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.024510,0.807453,2021-03-26T00:40:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.026174,0.833627,2021-03-26T00:45:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.034490,0.868117,2021-03-26T00:50:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.035580,0.903697,2021-03-26T00:55:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.039632,0.943329,2021-03-26T01:00:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.035950,0.979279,2021-03-26T01:05:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.030912,1.010191,2021-03-26T01:10:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.025990,1.036181,2021-03-26T01:15:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.024753,1.060934,2021-03-26T01:20:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.032266,1.093200,2021-03-26T01:25:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.041194,1.134394,2021-03-26T01:30:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.064788,1.199182,2021-03-26T01:35:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.061918,1.261100,2021-03-26T01:40:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.054833,1.315933,2021-03-26T01:45:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.056490,1.372423,2021-03-26T01:50:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.056266,1.428689,2021-03-26T01:55:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.059558,1.488247,2021-03-26T02:01:44Z
24d3440e-c786-49bd-b454-57049bb389ab,0.032271,1.520518,2021-03-26T02:05:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.039861,1.560379,2021-03-26T02:10:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.036470,1.596849,2021-03-26T02:15:43Z
24d3440e-c786-49bd-b454-57049bb389ab,0.026940,1.623789,2021-03-26T02:20:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.024361,1.648150,2021-03-26T02:25:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.024312,1.672462,2021-03-26T02:30:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.027768,1.700230,2021-03-26T02:35:42Z
24d3440e-c786-49bd-b454-57049bb389ab,0.033415,1.733645,2021-03-26T02:40:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.034851,1.768496,2021-03-26T02:45:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.033164,1.801660,2021-03-26T02:50:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.029089,1.830749,2021-03-26T02:55:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.026495,1.857244,2021-03-26T03:00:41Z
24d3440e-c786-49bd-b454-57049bb389ab,0.032174,1.889418,2021-03-26T03:05:41Z
